,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.6 - Protection de l'environnement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
06 - Logements et équipements collectifs,"0,1","0,1","0,1","0,1","0,0","0,0","0,1","0,0","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4"
    06.1 - Logements,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.2 - Équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2"
    06.3 - Alimentation en eau,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2"
    06.4 - Éclairage public,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
07 - Santé,"2,2","2,3","2,2","2,3","2,5","2,5","2,7","2,8","2,8","2,9","3,1","3,3","3,5","3,6","3,7","3,8","3,9","3,9","4,1","4,1"
"    07.1 - Produits, appareils et matériels médicaux","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.2 - Services ambulatoires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.3 - Services hospitaliers,"2,2","2,2","2,1","2,3","2,4","2,5","2,7","2,8","2,7","2,8","3,1","3,2","3,4","3,6","3,6","3,7","3,8","3,8","3,9","4,0"
    07.4 - Services de santé publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.5 - R-D dans le domaine de la santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,0"
    07.6 - Santé n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
"08 - Loisirs, culture et culte","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    08.1 - Services récréatifs et sportifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
    08.2 - Services culturels,"0,0","0,0","0,0","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"0,4","0,4","0,5","0,6","0,4","0,4","0,4","0,4","0,5","0,5","0,6","0,7","0,7","0,8","0,8","0,8","0,8","0,8","0,9","0,9"
    09.1 - Enseignement préélémentaire et primaire,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    09.2 - Enseignement secondaire,"0,1","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
    09.3 - Enseignement postsecondaire non supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.4 - Enseignement supérieur,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2"
    09.5 - Enseignement non défini par niveau,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,0","0,0","0,0","0,0"
    09.6 - Services annexes à l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10 - Protection sociale,"1,3","1,2","1,3","1,3","1,3","1,4","1,4","1,4","1,5","1,5","1,5","1,5","1,7","1,7","1,6","1,6","1,7","1,7","1,8","1,8"
    10.1 - Maladie et invalidité,"0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
    10.2 - Vieillesse,"0,7","0,6","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,7","0,8","0,8","0,8","0,9","0,8","0,8","0,8","0,8","0,8","0,9"
    10.3 - Survivants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.4 - Famille et enfants,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    10.5 - Chômage,"0,1","0,1","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,3"
    10.6 - Logement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.7 - Exclusion sociale n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
 ,,,,,,,,,,,,,,,,,,,,
Subventions (D3),"18,1","18,8","18,6","19,0","19,9","20,4","22,3","25,1","25,0","24,1","24,0","25,1","26,9","29,1","34,5","36,4","34,7","36,3","36,4","47,3"
01 - Services généraux des administrations publiques,"0,2","0,3","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,3","0,4","0,7","1,0","1,2","1,3","1,5","0,9","0,9","0,8","1,0"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,6","0,8","1,0","1,0","0,7","0,7","0,6","0,6","0,8"
    01.2 - Aide économique extérieure,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,5","0,0","0,1","0,0","0,1"
    01.3 - Services généraux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    01.4 - Recherche fondamentale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.7 - Opérations concernant la dette publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"0,7","0,6","0,8","0,6","0,5","0,7","0,5","0,8","0,7","0,6","0,5","0,4","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,3"
    02.1 - Défense militaire,"0,5","0,4","0,5","0,4","0,4","0,5","0,4","0,5","0,5","0,4","0,4","0,3","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,2"
    02.2 - Défense civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.3 - Aide militaire à des pays étrangers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.4 - R-D concernant la défense,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.5 - Défense n.c.a.,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
03 - Ordre et sécurité publics,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    03.1 - Services de police,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.2 - Services de protection civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.3 - Tribunaux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.4 - Administration pénitentiaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
04 - Affaires économiques,"14,5","14,7","14,1","14,6","15,6","15,3","16,6","19,3","19,6","18,4","17,7","17,9","18,7","19,2","23,4","24,7","23,4","24,9","25,1","30,9"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","5,2","5,2","4,8","5,1","5,6","5,0","5,6","6,4","6,5","5,3","5,1","5,1","5,3","4,6","6,7","7,7","5,3","4,9","4,8","6,1"
"    04.2 - Agriculture, sylviculture, pêche et chasse","0,5","0,5","0,5","0,5","0,5","0,5","0,6","0,7","0,4","0,7","0,5","0,7","0,6","0,6","0,8","0,9","0,6","0,7","0,4","0,5"
    04.3 - Combustibles et énergie,"1,6","1,6","1,6","1,7","1,9","1,8","2,1","2,8","2,8","2,3","2,1","2,4","2,6","2,3","2,7","2,6","3,6","4,8","5,3","6,5"
"    04.4 - Industries extractives et manufacturières, construction","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,1","0,2","0,1","0,2"
    04.5 - Transports,"6,5","6,6","6,5","6,7","6,9","7,3","7,5","8,6","9,0","9,2","9,1","9,0","9,3","9,4","10,6","10,6","10,9","11,3","11,3","13,0"
    04.6 - Communications,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,0","0,0"
    04.7 - Autres branches d'activité,"0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,6","0,6","0,7","0,7","0,6","0,7","2,2","2,4","2,5","2,6","2,7","2,8","4,2"
    04.8 - R-D concernant les affaires économiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,1","0,1","0,2"
    04.9 - Affaires économiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,2"
05 - Protection de l'environnement,"0,0","0,0","0,1","0,1","0,1","0,3","0,6","0,4","0,4","0,4","0,5","0,7","0,8","1,0","1,3","1,4","1,1","1,0","1,2","1,5"
    05.1 - Gestion des déchets,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.2 - Gestion des eaux usées,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.3 - Lutte contre la pollution,"0,0","0,0","0,1","0,1","0,1","0,2","0,4","0,3","0,3","0,3","0,4","0,5","0,6","0,9","1,1","1,2","0,9","0,8","0,9","1,2"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.6 - Protection de l'environnement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
06 - Logements et équipements collectifs,"0,6","0,6","0,7","0,5","0,5","0,4","0,3","0,5","0,5","0,5","0,5","0,6","0,8","1,2","2,3","2,9","3,6","3,9","3,6","5,8"
    06.1 - Logements,"0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,4","0,8","1,9","2,6","3,2","3,5","3,2","5,4"
    06.2 - Équipements collectifs,"0,5","0,5","0,6","0,5","0,4","0,4","0,2","0,3","0,4","0,4","0,4","0,4","0,4","0,3","0,4","0,3","0,3","0,3","0,3","0,3"
    06.3 - Alimentation en eau,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.4 - Éclairage public,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
07 - Santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,1"
"    07.1 - Produits, appareils et matériels médicaux","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.2 - Services ambulatoires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.3 - Services hospitaliers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    07.4 - Services de santé publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    07.5 - R-D dans le domaine de la santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.6 - Santé n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"08 - Loisirs, culture et culte","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,7","0,8","1,2","1,3","1,3","1,2","1,2","1,1","1,6"
    08.1 - Services récréatifs et sportifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.2 - Services culturels,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,1","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,5","0,9","0,9","0,9","0,8","0,8","0,7","1,3"
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"1,0","1,2","1,3","1,6","1,7","2,1","2,8","2,5","2,4","2,5","2,8","3,1","3,8","4,2","4,1","3,9","3,9","3,9","4,0","5,5"
    09.1 - Enseignement préélémentaire et primaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.2 - Enseignement secondaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
    09.3 - Enseignement postsecondaire non supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,6","0,9"
    09.4 - Enseignement supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.5 - Enseignement non défini par niveau,"0,7","0,7","0,8","0,9","0,9","1,0","1,7","1,2","1,4","1,5","1,6","1,7","2,0","2,1","2,1","1,9","1,9","1,8","1,8","1,8"
    09.6 - Services annexes à l'enseignement,"0,3","0,5","0,4","0,7","0,8","1,1","1,1","1,2","1,0","1,0","1,0","1,1","1,3","1,6","1,6","1,6","1,5","1,5","1,6","2,8"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10 - Protection sociale,"0,8","1,0","1,1","1,1","1,1","1,1","1,0","1,1","0,9","0,9","1,0","0,8","0,7","0,6","0,4","0,4","0,4","0,3","0,4","0,6"
    10.1 - Maladie et invalidité,"0,1","0,2","0,3","0,3","0,3","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    10.2 - Vieillesse,"0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,4","0,3","0,2","0,2","0,2","0,2","0,2","0,3"
    10.3 - Survivants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.4 - Famille et enfants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.5 - Chômage,"0,1","0,2","0,2","0,2","0,2","0,5","0,4","0,4","0,4","0,5","0,5","0,3","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    10.6 - Logement,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,1"
    10.7 - Exclusion sociale n.c.a.,"0,1","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
 ,,,,,,,,,,,,,,,,,,,,
Intérêts (D4) (*),"40,1","42,8","43,8","43,9","41,1","41,8","44,7","45,7","44,9","45,9","46,6","46,9","51,1","56,3","46,6","47,8","53,8","54,0","48,1","46,2"
01 - Services généraux des administrations publiques,"39,9","42,6","43,7","43,8","41,0","41,7","44,6","45,6","44,8","45,7","46,4","46,7","50,9","56,1","46,5","47,7","53,6","53,9","47,9","46,1"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.2 - Aide économique extérieure,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.3 - Services généraux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.4 - Recherche fondamentale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.7 - Opérations concernant la dette publique,"39,9","42,6","43,7","43,8","41,0","41,7","44,6","45,6","44,8","45,7","46,4","46,7","50,9","56,1","46,5","47,7","53,6","53,9","47,9","46,1"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.1 - Défense militaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.2 - Défense civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.3 - Aide militaire à des pays étrangers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.4 - R-D concernant la défense,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.5 - Défense n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
